twelvth_beat,pitch,prediction,anomaly score
2.0,4.0,9.0,1.0
2.5,9.0,7.0,0.0
3.0,4.0,2.0,1.0
3.5,9.0,7.0,1.0
4.0,4.0,2.0,1.0
4.5,5.0,2.0,0.0
5.0,2.0,2.0,0.0
5.5,0.0,1.0,1.0
6.0,3.0,5.999999999999999,1.0
7.5,0.0,0.0,0.57499999999999996
7.875,4.0,2.0,1.0
8.375,3.0,5.999999999999999,1.0
8.875,5.0,4.0,0.0
10.25,4.0,2.0,1.0
10.75,8.0,5.999999999999999,0.57499999999999996
11.25,5.0,1.0,0.074999999999999997
11.875,0.0,0.0,1.0
13.375,4.0,2.0,1.0
14.0,4.0,2.0,0.0
14.5,9.0,7.0,0.67500000000000004
15.0,4.0,2.0,1.0
15.5,9.0,7.0,1.0
15.875,4.0,2.0,1.0
16.375,5.0,2.0,0.0
16.875,2.0,2.0,0.0
17.375,0.0,1.0,1.0
17.875,3.0,5.999999999999999,1.0
19.375,0.0,0.0,0.57499999999999996
19.875,4.0,2.0,1.0
20.375,3.0,5.999999999999999,1.0
20.875,5.0,4.0,0.0
22.25,4.0,2.0,1.0
22.75,0.0,1.0,0.375
23.3333333333,5.0,4.0,1.0
23.875,3.0,5.999999999999999,0.55000000000000004
26.125,4.0,2.0,0.0
26.6666666667,9.0,7.0,0.57499999999999996
27.125,4.0,2.0,1.0
27.6666666667,9.0,7.0,1.0
28.125,4.0,2.0,1.0
28.625,5.0,2.0,0.0
29.125,2.0,2.0,0.0
29.625,0.0,1.0,1.0
30.125,3.0,5.999999999999999,1.0
31.5,0.0,0.0,0.57499999999999996
32.125,4.0,2.0,1.0
32.5,3.0,5.999999999999999,1.0
33.0,5.0,4.0,0.0
34.5,4.0,2.0,1.0
34.875,8.0,5.999999999999999,0.57499999999999996
35.375,5.0,1.0,0.074999999999999997
35.875,0.0,0.0,1.0
37.5,4.0,2.0,1.0
38.0,4.0,2.0,0.0
38.5,9.0,7.0,0.67500000000000004
38.875,4.0,2.0,1.0
39.375,9.0,7.0,1.0
39.875,4.0,2.0,1.0
40.3333333333,5.0,2.0,0.0
40.875,2.0,2.0,0.0
41.375,0.0,1.0,1.0
42.0,3.0,5.999999999999999,1.0
43.5,0.0,0.0,0.57499999999999996
43.875,4.0,2.0,1.0
44.375,3.0,5.999999999999999,1.0
44.875,5.0,4.0,0.0
46.375,4.0,2.0,1.0
46.875,0.0,1.0,0.375
47.5,5.0,4.0,1.0
48.0,3.0,5.999999999999999,0.55000000000000004
49.5,5.0,4.0,0.0
50.0,0.0,0.0,0.32500000000000001
50.5,2.0,4.0,0.0
51.125,4.0,2.0,1.0
52.125,0.0,1.0,1.0
52.625,1.0,1.0,0.94999999999999996
53.0,11.0,2.0,1.0
53.5,4.0,2.0,1.0
54.0,2.0,2.0,0.0
55.5,11.0,2.0,1.0
56.0,4.0,2.0,1.0
56.5,2.0,2.0,0.0
57.0,0.0,1.0,1.0
58.625,4.0,2.0,0.0
59.125,2.0,2.0,1.0
59.625,0.0,1.0,1.0
60.125,5.0,1.0,0.0
61.375,4.0,2.0,1.0
62.125,4.0,2.0,0.0
62.75,4.0,4.0,0.625
63.375,4.0,4.0,0.0
63.875,4.0,2.0,0.0
64.5,4.0,2.0,0.0
65.125,9.0,7.0,0.875
65.875,4.0,2.0,1.0
66.5,9.0,7.0,1.0
67.125,4.0,2.0,1.0
67.875,9.0,7.0,1.0
68.625,4.0,2.0,1.0
69.625,9.0,7.0,1.0
70.5,4.0,2.0,1.0
71.125,9.0,7.0,1.0
71.75,4.0,2.0,1.0
72.3333333333,9.0,7.0,1.0
72.875,4.0,2.0,1.0
73.375,5.0,2.0,0.0
73.875,2.0,2.0,0.0
74.5,0.0,1.0,1.0
75.125,3.0,5.999999999999999,1.0
76.625,0.0,0.0,0.57499999999999996
77.125,4.0,2.0,1.0
77.5,3.0,5.999999999999999,1.0
78.0,5.0,4.0,0.0
79.375,4.0,2.0,1.0
79.875,8.0,5.999999999999999,0.57499999999999996
80.375,5.0,1.0,0.074999999999999997
80.875,0.0,0.0,1.0
82.5,4.0,2.0,1.0
83.0,4.0,2.0,0.0
83.5,9.0,7.0,0.67500000000000004
84.0,4.0,2.0,1.0
84.5,9.0,7.0,1.0
85.0,4.0,2.0,1.0
85.375,5.0,2.0,0.0
85.875,2.0,2.0,0.0
86.375,0.0,1.0,1.0
86.875,3.0,5.999999999999999,1.0
88.375,0.0,0.0,0.57499999999999996
89.0,4.0,2.0,1.0
89.5,3.0,5.999999999999999,1.0
90.0,5.0,4.0,0.0
91.375,4.0,2.0,1.0
92.0,0.0,1.0,0.375
92.5,5.0,4.0,1.0
93.125,3.0,5.999999999999999,0.55000000000000004
95.25,0.0,0.0,0.57499999999999996
95.25,0.0,1.0,0.0
95.875,11.0,0.0,0.69999999999999996
95.875,0.0,4.0,0.0
95.875,0.0,1.0,0.0
96.5,0.0,1.0,0.0
97.0,11.0,0.0,0.0
97.25,3.0,5.999999999999999,1.0
97.5,0.0,0.0,0.57499999999999996
98.3333333333,0.0,1.0,0.0
99.125,11.0,0.0,0.69999999999999996
99.75,4.0,2.0,1.0
100.0,4.0,2.0,0.0
100.75,2.0,4.0,0.0
100.75,2.0,2.0,0.0
101.5,10.0,2.0,1.0
101.5,2.0,4.0,0.0
102.125,3.0,2.9999999999999996,1.0
102.375,3.0,2.9999999999999996,0.0
102.75,4.0,2.0,0.0
103.125,11.0,2.0,1.0
103.625,4.0,2.0,1.0
103.625,4.0,2.0,0.0
104.0,2.0,4.0,0.0
104.375,0.0,1.0,1.0
104.375,4.0,2.0,0.0
104.875,10.0,0.0,0.025000000000000001
105.75,3.0,5.999999999999999,1.0
105.75,0.0,0.0,0.57499999999999996
