twelvth_beat,pitch,prediction,anomaly score
0.0,10.0,2.0,1.0
0.5,11.0,2.0,1.0
1.0,10.0,2.0,1.0
1.5,11.0,2.0,1.0
2.0,2.0,4.0,0.0
2.5,11.0,2.0,1.0
3.0,10.0,2.0,1.0
3.5,11.0,2.0,1.0
4.0,1.0,1.0,0.94999999999999996
4.5,1.0,5.999999999999999,0.0
5.0,10.0,2.0,1.0
5.5,1.0,1.0,0.94999999999999996
6.0,2.0,4.0,0.0
6.5,1.0,5.999999999999999,0.0
7.0,10.0,2.0,1.0
7.5,1.0,1.0,0.94999999999999996
8.0,9.0,7.0,1.0
8.5,1.0,1.0,1.0
9.0,10.0,2.0,1.0
9.5,1.0,1.0,0.94999999999999996
10.0,9.0,7.0,1.0
10.5,10.0,2.0,1.0
11.0,11.0,2.0,1.0
11.5,10.0,2.0,1.0
12.0,11.0,2.0,1.0
12.5,0.0,1.0,0.0
13.0,11.0,0.0,1.0
13.5,0.0,4.0,0.0
14.0,11.0,0.0,1.0
14.5,11.0,2.0,1.0
15.0,0.0,1.0,0.0
15.5,11.0,0.0,1.0
16.0,10.0,2.0,1.0
16.5,11.0,2.0,1.0
17.0,10.0,2.0,1.0
17.5,11.0,2.0,1.0
18.0,2.0,4.0,0.0
18.5,11.0,2.0,1.0
19.0,10.0,2.0,1.0
19.5,11.0,2.0,1.0
20.0,1.0,1.0,0.94999999999999996
20.5,1.0,5.999999999999999,0.0
21.0,10.0,2.0,1.0
21.5,1.0,1.0,0.94999999999999996
22.0,2.0,4.0,0.0
22.5,1.0,5.999999999999999,0.0
23.0,10.0,2.0,1.0
23.5,1.0,1.0,0.94999999999999996
24.0,9.0,7.0,1.0
24.5,1.0,1.0,1.0
25.0,10.0,2.0,1.0
25.5,1.0,1.0,0.94999999999999996
26.0,9.0,7.0,1.0
26.5,10.0,2.0,1.0
27.0,11.0,2.0,1.0
27.5,10.0,2.0,1.0
28.0,11.0,2.0,1.0
28.5,0.0,1.0,0.0
29.0,11.0,0.0,1.0
29.5,0.0,4.0,0.0
30.0,11.0,0.0,1.0
30.5,11.0,2.0,1.0
31.0,0.0,1.0,0.0
31.5,11.0,0.0,1.0
32.0,1.0,1.0,0.94999999999999996
32.5,1.0,5.999999999999999,0.0
33.0,10.0,2.0,1.0
33.5,1.0,1.0,0.94999999999999996
34.0,2.0,4.0,0.0
34.5,1.0,5.999999999999999,0.0
35.0,10.0,2.0,1.0
35.5,1.0,1.0,0.94999999999999996
36.0,9.0,7.0,1.0
36.5,1.0,1.0,1.0
37.0,10.0,2.0,1.0
37.5,1.0,1.0,0.94999999999999996
38.0,9.0,7.0,1.0
38.5,10.0,2.0,1.0
39.0,11.0,2.0,1.0
39.5,10.0,2.0,1.0
40.0,10.0,2.0,1.0
40.5,11.0,2.0,1.0
41.0,10.0,2.0,1.0
41.5,11.0,2.0,1.0
42.0,2.0,4.0,0.0
42.5,11.0,2.0,1.0
43.0,10.0,2.0,1.0
43.5,11.0,2.0,1.0
44.0,11.0,2.0,1.0
44.5,0.0,1.0,0.0
45.0,11.0,0.0,1.0
45.5,0.0,4.0,0.0
46.0,11.0,0.0,1.0
46.5,11.0,2.0,1.0
47.0,0.0,1.0,0.0
47.5,11.0,0.0,1.0
48.0,10.0,2.0,1.0
48.5,11.0,2.0,1.0
49.0,10.0,2.0,1.0
49.5,11.0,2.0,1.0
50.0,2.0,4.0,0.0
50.5,11.0,2.0,1.0
51.0,10.0,2.0,1.0
51.5,11.0,2.0,1.0
52.0,1.0,1.0,0.94999999999999996
52.5,1.0,5.999999999999999,0.0
53.0,10.0,2.0,1.0
53.5,1.0,1.0,0.94999999999999996
54.0,2.0,4.0,0.0
54.5,1.0,5.999999999999999,0.0
55.0,10.0,2.0,1.0
55.5,1.0,1.0,0.94999999999999996
56.0,9.0,7.0,1.0
56.5,1.0,1.0,1.0
57.0,10.0,2.0,1.0
57.5,1.0,1.0,0.94999999999999996
58.0,9.0,7.0,1.0
58.5,10.0,2.0,1.0
59.0,11.0,2.0,1.0
59.5,10.0,2.0,1.0
60.0,11.0,2.0,1.0
60.5,0.0,1.0,0.0
61.0,11.0,0.0,1.0
61.5,0.0,4.0,0.0
62.0,11.0,0.0,1.0
62.5,11.0,2.0,1.0
63.0,0.0,1.0,0.0
63.5,11.0,0.0,1.0
64.0,10.0,2.0,1.0
64.5,11.0,2.0,1.0
65.0,10.0,2.0,1.0
65.5,11.0,2.0,1.0
66.0,2.0,4.0,0.0
66.5,11.0,2.0,1.0
67.0,10.0,2.0,1.0
67.5,11.0,2.0,1.0
68.0,1.0,1.0,0.94999999999999996
68.5,1.0,5.999999999999999,0.0
69.0,10.0,2.0,1.0
69.5,1.0,1.0,0.94999999999999996
70.0,2.0,4.0,0.0
70.5,1.0,5.999999999999999,0.0
71.0,10.0,2.0,1.0
71.5,1.0,1.0,0.94999999999999996
72.0,9.0,7.0,1.0
72.5,1.0,1.0,1.0
73.0,10.0,2.0,1.0
73.5,1.0,1.0,0.94999999999999996
74.0,9.0,7.0,1.0
74.5,10.0,2.0,1.0
75.0,11.0,2.0,1.0
75.5,10.0,2.0,1.0
76.0,11.0,2.0,1.0
76.5,0.0,1.0,0.0
77.0,11.0,0.0,1.0
77.5,0.0,4.0,0.0
78.0,11.0,0.0,1.0
78.5,11.0,2.0,1.0
79.0,0.0,1.0,0.0
79.5,11.0,0.0,1.0
